species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,usnm,172347,preservedspecimen,2,united states,michigan,; ; united states; michigan; muskegon co.; bear l.,,,,
Amblema plicata,usnm,591452,preservedspecimen,2,united states,michigan,; ; united states; michigan; ionia co.; ionia; 0.25 mi.below fair grounds; grand riv.; sta.13,,,,
Amblema plicata,usnm,677214,preservedspecimen,2,united states,indiana,; ; united states; indiana; new haven; maumee riv.; sta.728,,,,
Amblema plicata,usnm,25275,preservedspecimen,2,united states,illinois,; ; united states; illinois;,,,,
Amblema plicata,usnm,809547,preservedspecimen,2,united states,michigan,; ; united states; michigan; monroe; lake erie; sta.10,,,,
Amblema plicata,usnm,676943,preservedspecimen,3,united states,illinois,; ; united states; illinois; hardin; il riv.; sta.6,,,,
Amblema plicata,usnm,755803,preservedspecimen,2,united states,illinois,; ; united states; illinois; henderson co.; gladstone/carmen twps.; e of burlington id.; il bank; ms riv.; r6w t9/10n,,,,
Amblema plicata,usnm,738538a,preservedspecimen,2,united states,michigan,; ; united states; michigan; monroe co.; lake erie; sta.895,,,,
Amblema plicata,chas,25409,preservedspecimen,1,united states,illinois,station iv: chicago 885 ft. n. foster ave,,,,
Amblema plicata,chas,20175,preservedspecimen,1,united states,alabama,coosa river,1900,,,
Amblema plicata,usnm,528779,preservedspecimen,4,united states,illinois,; ; united states; illinois; joliet,,,,
Amblema plicata,usnm,105125,preservedspecimen,2,united states,illinois,; ; united states; illinois; du bois; little muddy cr.,,,,
Amblema plicata,inhs,4040,preservedspecimen,1,united states,illinois,mackinaw river 1 mi n mackinaw north america,1987,40.54603,-89.35904,
Amblema plicata,inhs,35434,preservedspecimen,1,united states,illinois,salt creek 2 mi e middletown 1250th st. north america,2009,40.10223,-89.55073,
Amblema plicata,inhs,22428,preservedspecimen,1,united states,illinois,middle branch north fork vermilion river 0.75 mi s college corners co. rd. 1900e north america,1998,40.38482,-87.58966,
Amblema plicata,uf,63787-mollusca,preservedspecimen,1,united states,ohio,n/a,,,,
Amblema plicata,inhs,13413,preservedspecimen,2,united states,illinois,green river 2.5 mi n geneseo rt. 82 bridge below bridge north america,1992,41.4887,-90.1579,
Amblema plicata,inhs,12040,preservedspecimen,10,united states,illinois,kankakee river 4 mi nw wilmington des plaines wildlife conservation area downstream i-55 bridge at island north america,1991,41.35276,-88.19723,
Amblema plicata,inhs,10619,preservedspecimen,1,united states,illinois,little vermilion river 0.5 mi se georgetown humrick road bridge north america,1990,39.96975,-87.61477,
Amblema plicata,inhs,48988,preservedspecimen,1,united states,minnesota,minnesota river 3.5 mi ese ortonville off hwy. 75 bridge big stone national wildlife refuge north america,2006,45.24929,-96.29249,
Amblema plicata,inhs,49214,preservedspecimen,1,united states,illinois,illinois river 1 mi w south ottawa river mile 238.0 north america,1994,41.33044,-88.87023,
Amblema plicata,inhs,79411,preservedspecimen,1,united states,minnesota,mississippi river 4 mi s cottage grove; nininger channel; multiple sites in lower pool 2 north america,2010,44.77046,-92.93181,
Amblema plicata,inhs,79844,preservedspecimen,1,united states,illinois,lake michigan northerly island; found in sands dredged from lake to build northerly island (built in 1940s) north america,2015,41.8556,-87.60717,
Amblema plicata,inhs,84147,preservedspecimen,1,united states,indiana,salt creek imagination glen park north america,,41.59235,-87.146297,
Amblema plicata,inhs,84465,preservedspecimen,1,united states,indiana,indian creek state hwy. 37 north america,2005,39.39316,-86.45996,
Amblema plicata,omnh,15561,preservedspecimen,1,united states,oklahoma,,1990,34.677648,-94.955868,
Amblema plicata,inhs,26615,preservedspecimen,3,united states,illinois,mississippi river opposite bellevue iowa above lock & dam 12 river mile 556.7- 558.4 north america,2001,42.28264,-90.40237,
Amblema plicata,inhs,17693,preservedspecimen,1,united states,illinois,wolf creek 2.5 mi nw pontiac north america,1976,40.91321,-88.66203,
Amblema plicata,inhs,4520,preservedspecimen,1,united states,illinois,sangamon river 0.25 mi upstream of confluence with south fork north america,1987,39.81302,-89.53806,
Amblema plicata,uf,506402-mollusca,preservedspecimen,1,united states,ohio,ohio river buena vista,1909,38.6244,-83.2573,
Amblema plicata,utep,5186,preservedspecimen,1,united states,texas,medina river at south side of castroville on s constantinople street,1977,29.347,-98.8763333333,
Amblema plicata,utep,5164,preservedspecimen,1,united states,texas,llano river at north side of castell,1977,30.70352,-98.95833,
Amblema plicata,ansp,a10843,preservedspecimen,1,united states,tennessee,nolichucky river,1980,36.066666,-82.95,
Amblema plicata,ansp,a11571,preservedspecimen,1,united states,tennessee,tennessee river watts bar reservoir,1976,,,
Amblema plicata,ansp,a13320,preservedspecimen,1,united states,pennsylvania,allegheny river mile 110.2 0.75 miles below whitherup island 1.75 miles above kennerdell,1990,41.290555,-79.855833,
Amblema plicata,ansp,a14531,preservedspecimen,1,united states,ohio,columbus,,39.95,-82.866666,
Amblema plicata,ansp,a16925,preservedspecimen,1,united states,pennsylvania,crystal point presque isle bay millcreek township,1989,42.141666,-80.108333,
Amblema plicata,ansp,a16926,preservedspecimen,1,united states,pennsylvania,crystal point presque isle bay millcreek township,1989,42.141666,-80.108333,
Amblema plicata,ansp,447821,preservedspecimen,2,united states,illinois,south fork of big vermillion river 1 mile n of fairburg,1979,,,
Amblema plicata,ansp,468248,preservedspecimen,1,united states,arkansas,current river at river mile 34,1984,,,
Amblema plicata,dmns,22867,preservedspecimen,1,,,no locality recorded,1900,,,
Amblema plicata,usnm,738391,preservedspecimen,14,united states,kansas,; ; united states; kansas; lyon county neosho river; nw 1/4 nw 1/4 s29 t17s r10e,,,,
Amblema plicata,usnm,150145,preservedspecimen,3,united states,north dakota,; ; united states; north dakota; red river argusville,,,,
Amblema plicata,usnm,521442,preservedspecimen,1,united states,iowa,; ; united states; iowa; green county,,,,
Amblema plicata,usnm,508625,preservedspecimen,4,united states,iowa,; ; united states; iowa; muscatine county mississippi river,,,,
