species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,uf,66085-mollusca,preservedspecimen,1,united states,michigan,lake erie la plaisance bay,,,,
Amblema plicata,ansp,363575,preservedspecimen,21,united states,pennsylvania,bristol delaware river,1974,40.1,-74.841666,
Amblema plicata,usnm,1022108,preservedspecimen,9,united states,massachusetts,northhampton,,,,
Amblema plicata,usnm,336094,preservedspecimen,31,united states,washington d.c.,theodore roosevelt island,1919,38.8956,-77.0622,
Amblema plicata,uf,359773-mollusca,preservedspecimen,1,united states,south carolina,lake marion in santee nwr bluff unit at the santee indian mound ft. watson.,2002,33.53875,-80.4363305556,
Amblema plicata,mcz,280761,preservedspecimen,1,canada,ontario,lake erie bay beach near port abino,,,,
Amblema plicata,inhs,46168,preservedspecimen,1,united states,massachusetts,fort river south amherst north america,1975,42.35556,-72.52058,
Amblema plicata,uf,66074-mollusca,preservedspecimen,1,united states,alabama,n/a,,,,
Amblema plicata,uf,229221-mollusca,preservedspecimen,1,,,oxwood lake,1930,,,
Amblema plicata,mcz,275476,preservedspecimen,1,canada,ontario,pelee id. lake erie,,,,
Amblema plicata,uf,229220-mollusca,preservedspecimen,1,united states,virginia,rappahannock r.,,,,
Amblema plicata,inhs,46185,preservedspecimen,2,united states,massachusetts,silver lake pembroke north america,1977,42.03144,-70.81083,
Amblema plicata,uf,359931-mollusca,preservedspecimen,1,united states,south carolina,lake marion santee national wildlife refuge bluff unit at santee indian mound fort watson.,2002,33.53875,-80.4363305556,
Amblema plicata,cas,121600,preservedspecimen,1,united states,connecticut,[farmington river? or simsbury resevoir? -no body of water indicated on original label],,,,
Amblema plicata,ansp,a17261,preservedspecimen,1,united states,north carolina,winton chowan river,1989,36.395555,-76.932222,
Amblema plicata,ansp,56640,preservedspecimen,5,united states,washington d.c.,potomac river,,,,
Amblema plicata,ansp,111499,preservedspecimen,4,united states,new jersey,delaware river delanco,1915,,,
Amblema plicata,ansp,112936,preservedspecimen,1,united states,new jersey,edgewater park,1915,,,
Amblema plicata,ansp,334251,preservedspecimen,50,united states,new jersey,delaware river on both banks of channel bounded by left bank of river and newbold island app 0.3 miles nnw of kinkora app 6.6 ne of burlington (from intersection of rt. us 130 and rt nj 413 in burlin,1974,,,
Amblema plicata,ncsm,27538,preservedspecimen,1,united states,south carolina,congaree river on left descending bank at 1 mile upstream of the southern rr bridge over river at 2 air miles w of us 601 bridge [point estimated 4 air miles sw center wateree] [wateree quad].,2002,33.7617,-80.68,
Amblema plicata,ncsm,28327,preservedspecimen,1,united states,north carolina,pee dee river 300 yards above highway 74 bridge  south of blewett dam [5.6 air miles wnw center rockingham] [rockingham quad].,1999,34.9474,-79.8729,
Amblema plicata,ncsm,44611,preservedspecimen,4,united states,north carolina,tar river [2.5 air miles ene center] grimesland [grimesland quad].,2009,35.5702,-77.1484,
Amblema plicata,usnm,252796,preservedspecimen,12,united states,washington d.c.,anacostia park benning  eastern branch,,38.8969,-76.9619,
Amblema plicata,usnm,590066,preservedspecimen,22,united states,michigan,carp lake,,,,
Amblema plicata,usnm,160711,preservedspecimen,2,united states,new york,lake erie cedar point,,,,
Amblema plicata,uf,439014-mollusca,preservedspecimen,1,united states,south carolina,jacks creek marina on lake marion sw of summerton,2008,33.5667,-80.4375,
Amblema plicata,usnm,42793,preservedspecimen,6,united states,washington d.c.,; ; united states; district of columbia; potomac river,,,,
Amblema plicata,usnm,85986,preservedspecimen,2,united states,new york,; ; united states; new york; buffalo,,,,
Amblema plicata,usnm,85983,preservedspecimen,2,united states,ohio,cleveland,,,,
Amblema plicata,mcz,260803,preservedspecimen,1,united states,rhode island,s side wardens pond 4.5 mi sw of kingston,1965,,,
Amblema plicata,mcz,192692,preservedspecimen,1,united states,ohio,4 miles w of marblehead east harbor st. pk. lake erie,1950,,,
Amblema plicata,mcz,352339,preservedspecimen,1,united states,massachusetts,halifax monponsett pond east side along route 58 (center bisects the pond).,2005,,,
Amblema plicata,mcz,353494,preservedspecimen,1,united states,massachusetts,halifax monponsett pond e side along rt. 58 (center bisects the pond),2005,,,
Amblema plicata,mcz,380322,preservedspecimen,1,united states,rhode island,south kingstown hundred acre pond northeast side (boat access from south drainage outflow) west kingston section,2009,41.5013833333,-71.53945,
Amblema plicata,mcz,380044,preservedspecimen,1,united states,massachusetts,taunton whittenton section mill river upstream and downstream of old railroad grade road crossing 0.25 km east of warren street junction,2010,41.9218333333,-71.1051,
Amblema plicata,cmn,cmnml 017043,preservedspecimen,1,canada,ontario,outlet in spence lake (east lake) athol twp. prince edward co. ontario,1962,43.916667,-77.216667,
Amblema plicata,cmn,cmnml 026199,preservedspecimen,1,canada,ontario,black creek (formerly black riv.) above black river bridge (municipality of black creek),1964,43.966389,-77.034444,
Amblema plicata,cmn,cmnml 060330,preservedspecimen,2,united states,new york,barge canal at rte 252 at r.r. bridge just se of pittsford.,1957,43.100833,-77.517778,
Amblema plicata,cmn,cmnml 015026,preservedspecimen,1,canada,ontario,lake ontario w end of bath ernestown twp. lennox and addington co. ontario; p-1902,1961,44.175,-76.783333,
Amblema plicata,cmn,cmnml 048156,preservedspecimen,5,canada,ontario,shrewsbury erie lake,1963,42.283333,-81.883333,
Amblema plicata,dmnh,186548,preservedspecimen,1,united states,massachusetts,stockbridge bowl stockbridge,,,,
Amblema plicata,dmnh,50495,preservedspecimen,1,united states,massachusetts,bellows pond newton,,,,
Amblema plicata,dmnh,173593,preservedspecimen,1,canada,ontario,hamilton,,,,
Amblema plicata,dmnh,134270,preservedspecimen,1,united states,,delaware river,,,,
Amblema plicata,dmnh,173591,preservedspecimen,1,canada,ontario,hamilton,,,,
Amblema plicata,cm,61.9420-cm,preservedspecimen,3,united states,ohio,sandusky bay sandusky,,,,
Amblema plicata,cm,61.7337,preservedspecimen,1,canada,ontario,l erie welland crystal beach,1914,,,
Amblema plicata,cm,61.10936,preservedspecimen,2,united states,ohio,l erie vermilion,1906,41.416667,-82.35,
Amblema plicata,cm,80831,preservedspecimen,2,united states,new jersey,delaware r riverton,1902,,,
Amblema plicata,cm,81621,preservedspecimen,2,united states,pennsylvania,conneaut outlet conneaut outlet conneaut l(0.41km downstream),2006,41.6,-80.3,
Amblema plicata,cm,61.3525,preservedspecimen,1,united states,pennsylvania,delaware r yardley,1908,,,
Amblema plicata,cm,61.4085,preservedspecimen,3,united states,pennsylvania,l erie erie presque isle lake erie(beach pool g),1909,,,
Amblema plicata,cm,61.4837,preservedspecimen,5,united states,pennsylvania,l erie erie presque isle,1910,,,
Amblema plicata,cm,80829,preservedspecimen,18,united states,pennsylvania,misery bay erie,,,,
Amblema plicata,usnm,1282517,preservedspecimen,6,united states,delaware,deep creek ; at nanticoke acres (708 cedar lane) in [seaford] app 1.5 mi up river from rt us 13,1984,38.6411,-75.6114,
Amblema plicata,usnm,853368,preservedspecimen,3,united states,kansas,osro falls 2 mile nw of hewins,1974,,,
Amblema plicata,usnm,85987,preservedspecimen,2,united states,maryland,,,38.4833,-76.9833,
Amblema plicata,usnm,251233,preservedspecimen,8,united states,michigan,douglas lake,,,,
Amblema plicata,usnm,128776,preservedspecimen,14,united states,ohio,muzzy's pond,,,,
Amblema plicata,usnm,271093,preservedspecimen,15,united states,washington d.c.,potomac river fox ferry,,38.8017,-77.0267,
Amblema plicata,usnm,711153,preservedspecimen,2,united states,virginia,; ; united states; virginia; hanover county pamonkey river,,,,
Amblema plicata,usnm,1438875,preservedspecimen,1,united states,new york,; ; united states; new york; lake erie (beach),,,,
Amblema plicata,usnm,85983,preservedspecimen,2,united states,ohio,; ; united states; ohio; cleveland,,,,
Amblema plicata,usnm,341713,preservedspecimen,1,united states,washington d.c.,; ; united states; district of columbia; creek on anacostia id.,,,,
Amblema plicata,uf,229219-mollusca,preservedspecimen,1,,,st. lawrence,,,,
Amblema plicata,uf,66082-mollusca,preservedspecimen,1,united states,louisiana,creeks of desoto county,,,,
Amblema plicata,uf,66079-mollusca,preservedspecimen,1,united states,massachusetts,bullows pond newton,,,,
Amblema plicata,inhs,46182,preservedspecimen,1,united states,massachusetts,lake pearl feeder wrentham north america,1983,42.05968,-71.35135,
Amblema plicata,inhs,2033,preservedspecimen,7,united states,rhode island,worden pond 4.5 mi sw kingston north america,1985,41.42999,-71.56822,
Amblema plicata,mcz,240145,preservedspecimen,1,,,ontario kingsville lake erie,1911,,,
Amblema plicata,uf,19602-mollusca,preservedspecimen,1,united states,new jersey,delware river riverton,1902,,,
Amblema plicata,uf,66081-mollusca,preservedspecimen,1,united states,michigan,douglas lake,,,,
Amblema plicata,uf,269653-mollusca,preservedspecimen,1,united states,pennsylvania,schuykill river near philadelphia,,,,
Amblema plicata,usnm,252032,preservedspecimen,16,united states,washington d.c.,opposite arsenal,,38.96,-77.03,
