species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,uf,296675-mollusca,preservedspecimen,1,united states,arkansas,st. francis river north of madison river mile 67.5,1978,,,
Amblema plicata,uf,20564-mollusca,preservedspecimen,1,united states,alabama,tennessee river at us hwy. 231 s of huntsville,1956,,,
Amblema plicata,inhs,7928,preservedspecimen,59,united states,illinois,sangamon river 2.5 mi se cisco co. rd. 320e hog chute bridge north america,1957,39.97965,-88.6834,
Amblema plicata,usnm,451983,preservedspecimen,4,united states,michigan,saginaw river,,,,
Amblema plicata,usnm,746316,preservedspecimen,8,united states,iowa,spring valley lyons,1907,,,
Amblema plicata,usnm,521459,preservedspecimen,8,united states,iowa,,,,,
Amblema plicata,usnm,594996,preservedspecimen,6,united states,kentucky,cumberland river horseshoe bottom,1948,,,
Amblema plicata,usnm,599581,preservedspecimen,3,united states,alabama,gaillard's creek 2 mile from claiborne,,,,
Amblema plicata,usnm,512306,preservedspecimen,2,united states,tennessee,cumberland river nashville,1891,,,
Amblema plicata,usnm,366466,preservedspecimen,2,united states,arkansas,black river kincaid bar 2 mile n of black rock,,,,
Amblema plicata,usnm,25694,preservedspecimen,4,united states,mississippi,,,,,
Amblema plicata,usnm,755896,preservedspecimen,10,united states,missouri,canton,1907,,,
Amblema plicata,usnm,746064,preservedspecimen,4,united states,iowa,jefferson guttenberg,1907,,,
Amblema plicata,inhs,15826,preservedspecimen,2,united states,kentucky,licking river 1.75 mi ne sunrise north america,1988,38.55562,-84.21613,
Amblema plicata,inhs,79397,preservedspecimen,1,united states,minnesota,mississippi river lake pepin; 3.83 mi nw lake city north america,2010,44.49511,-92.31077,
Amblema plicata,inhs,79530,preservedspecimen,1,united states,minnesota,straight river s of owatonna; just e of i35 on sw 93rd st. north america,2011,43.9572,-93.2509,
Amblema plicata,inhs,82914,preservedspecimen,1,united states,missouri,meramec river castlewood state park river mile 26.2 north america,1997,38.54699,-90.55395,
Amblema plicata,inhs,82929,preservedspecimen,1,united states,missouri,meramec river i-55 river mile 6.9 north america,1997,38.45292,-90.37658,
Amblema plicata,usnm,677523,preservedspecimen,2,united states,ohio,auglaize river defiance,1908,,,
Amblema plicata,usnm,540432,preservedspecimen,6,united states,iowa,cedar river,,,,
Amblema plicata,inhs,34509,preservedspecimen,1,united states,illinois,coal creek 2 mi n annawan w of rt. 78 at closed bridge north america,2009,41.43307,-89.92039,
Amblema plicata,inhs,3230,preservedspecimen,48,united states,illinois,sangamon river 3 mi ne fisher north america,1957,40.35466,-88.31343,
Amblema plicata,inhs,27968,preservedspecimen,1,united states,illinois,illinois river 4 mi s meredosia north america,2002,39.7794,-90.6038,
Amblema plicata,inhs,25716,preservedspecimen,1,united states,illinois,middle fork vermilion river 0.5 mi s potomac co. rd. 750e bridge north america,2001,40.29716,-87.8006,
Amblema plicata,inhs,1367,preservedspecimen,8,united states,illinois,sangamon river mahomet north america,,40.19166,-88.40005,
Amblema plicata,inhs,18578,preservedspecimen,1,united states,illinois,indian creek 3.5 mi sw wyoming co. rd. 450n north america,1995,41.04053,-89.8344,
Amblema plicata,inhs,87005,preservedspecimen,1,united states,illinois,mississippi river 1.2 mi ene moline 300 yds. downstream metrolink channel cat ferry dock relocation area north america,2015,41.515146,-90.491534,
Amblema plicata,ansp,a10736,preservedspecimen,1,united states,tennessee,thomas island nolichucky river mile 8.5,1980,36.133333,-87.25,
Amblema plicata,ansp,a10756,preservedspecimen,1,united states,tennessee,mouth of lick creek nolichucky river mile 16.0,1980,36.166666,-87.166666,
Amblema plicata,ansp,a11727,preservedspecimen,1,united states,arkansas,havana petit jean river,1981,35.116666,-93.55,
Amblema plicata,ansp,a17286,preservedspecimen,1,united states,arkansas,upriver from route 122 at ferry crossing about 2 miles north of oil trough white river,1991,35.630833,-91.460277,
Amblema plicata,ansp,a17296,preservedspecimen,1,united states,arkansas,upriver from route 122 at ferry crossing about 2 miles north of oil trough white river,1991,35.630833,-91.460277,
Amblema plicata,ansp,a2699,preservedspecimen,1,united states,alabama,cahaba river,1972,,,
Amblema plicata,ansp,468366,preservedspecimen,1,united states,tennessee,duck river at i-65 bridge,1988,35.565,-86.906,
Amblema plicata,usnm,745701,preservedspecimen,4,united states,minnesota,; ; united states; minnesota; mississippi river; along shore winona minn.; 53.5 mi. ssw eau claire wisc.; r7w t107n; winona twp. winona co.,,,,
Amblema plicata,usnm,58122,preservedspecimen,8,united states,iowa,; ; united states; iowa;,,,,
Amblema plicata,usnm,150441,preservedspecimen,1,united states,louisiana,; ; united states; louisiana; sabine riv. same locality as the smooth specimens from the frierson,,,,
Amblema plicata,usnm,540024,preservedspecimen,12,united states,iowa,; ; united states; iowa; n. of marquette,,,,
Amblema plicata,usnm,755268,preservedspecimen,2,united states,illinois,; ; united states; illinois; mississippi river; east moline; opp. davenport iowa; r1e t18n; hampton twp. rock island co. ill.,,,,
Amblema plicata,usnm,427682,preservedspecimen,6,united states,oklahoma,; ; united states; oklahoma; pennington creek sishomongo,,,,
Amblema plicata,usnm,755748,preservedspecimen,2,united states,illinois,; ; united states; illinois; mississippi river; oquaka ill.; 12 mi. ne burlington ia.; r5w t11n; henderson co.,,,,
Amblema plicata,inhs,8327,preservedspecimen,1,united states,indiana,wildcat creek 8 mi ene lafayette co. rd. 1100e north america,1989,40.4607,-86.69548,
Amblema plicata,inhs,40045,preservedspecimen,2,united states,illinois,haw creek 3.5 mi sw maquon co. rd. 400n bridge north america,2010,40.77211,-90.22205,
Amblema plicata,inhs,2431,preservedspecimen,17,united states,illinois,embarras river 4 mi se hindsboro rt. 133 bridge north america,1986,39.659,-88.0632,
Amblema plicata,inhs,33226,preservedspecimen,1,united states,illinois,mississippi river cordova river mile 502.1 north america,1999,41.6706,-90.3315,
Amblema plicata,inhs,39776,preservedspecimen,1,united states,illinois,west okaw river 3 mi sw lovington co. rd. 1850n bridge north america,2010,39.67368,-88.66528,
Amblema plicata,inhs,22998,preservedspecimen,1,united states,illinois,mississippi river 3.5 mi upstream lock & dam #26 nw of alton river mile 206- 207 north america,1998,38.91728,-90.2344,
Amblema plicata,inhs,33025,preservedspecimen,1,united states,illinois,illinois river 1.9 mi nw meredosia head of wilsons island river mile 73.2 north america,2002,39.85334,-90.5812,
Amblema plicata,inhs,38229,preservedspecimen,3,united states,tennessee,holston river north america,,,,
Amblema plicata,inhs,17467,preservedspecimen,1,united states,illinois,kankakee river 3 mi w bourbonnias kankakee river state park north america,1994,41.16134,-87.94127,
Amblema plicata,inhs,12310,preservedspecimen,1,united states,indiana,white river 3.5 mi ene mt. carmel kelly's ripple at island north america,1991,38.43194,-87.68081,
Amblema plicata,inhs,24064,preservedspecimen,1,united states,missouri,osage fork 9 mi e lebanon 7.5 mi s stoutland co. rd. bridge off hwy. n north america,1999,37.69677,-92.48679,
Amblema plicata,inhs,3149,preservedspecimen,24,united states,illinois,little wabash river 1.5 mi s carmi possum bridge north america,1956,38.05984,-88.15743,
Amblema plicata,inhs,6615,preservedspecimen,3,united states,illinois,sangamon river allerton park north america,1988,40.00231,-88.64667,
Amblema plicata,inhs,8938,preservedspecimen,5,united states,illinois,spoon river elmore river mile 114.4 north america,1971,40.95691,-89.9761,
Amblema plicata,inhs,2309,preservedspecimen,1,united states,illinois,kankakee river kankakee washington ave./rt. 45 downstream of dam below bridge north america,1986,41.1132,-87.8688,
Amblema plicata,inhs,45188,preservedspecimen,1,united states,illinois,illinois river 6.3 mi sse hardin river mile 15.0 north america,1966,39.069,-90.5857,
Amblema plicata,inhs,45751,preservedspecimen,1,united states,illinois,rock river rockford u.s. rt. 20 bridge north america,2013,42.21954,-89.09504,
Amblema plicata,inhs,6436,preservedspecimen,1,united states,illinois,wabash river 1.75 mi nw hutton indiana north america,1988,39.34191,-87.55271,
Amblema plicata,omnh,15458,preservedspecimen,1,united states,oklahoma,t6n r22e sec. 10,1988,35.010381,-94.967726,
Amblema plicata,inhs,29174,preservedspecimen,1,united states,indiana,brouilletts creek 1 mi e shepardsville north america,2004,39.6036,-87.3987,
Amblema plicata,inhs,17348,preservedspecimen,1,united states,illinois,mississippi river east hannibal between u.s. rt. 36 & r.r. bridges north america,,39.72208,-91.3584,
Amblema plicata,inhs,522,preservedspecimen,3,united states,illinois,illinois river peoria narrows north america,1924,40.7309,-89.54978,
Amblema plicata,uf,20549-mollusca,preservedspecimen,1,united states,iowa,bayou in des moines,1912,,,
Amblema plicata,inhs,42604,preservedspecimen,1,united states,illinois,east fork lamoine river 7.2 mi w colchester co. rd. 3000e bridge north america,2012,40.4058,-90.9274,
Amblema plicata,inhs,41565,preservedspecimen,1,united states,illinois,pecatonica river 4 mi w cedarville damascus landing north america,2011,42.3726,-89.70879,
Amblema plicata,inhs,2346,preservedspecimen,5,united states,illinois,vermilion river streator rt. 18 north america,1986,41.12075,-88.83832,
Amblema plicata,inhs,519,preservedspecimen,17,united states,illinois,rock river above dixon above and below mouth of pine creek north america,,41.91164,-89.44985,
Amblema plicata,inhs,41397,preservedspecimen,1,united states,illinois,spoon river 4 mi se lewistown end of waterford rd. north america,2011,40.33704,-90.12997,
Amblema plicata,inhs,38103,preservedspecimen,1,united states,nebraska,big blue river north america,,,,
Amblema plicata,inhs,35327,preservedspecimen,1,united states,illinois,rock river 0.5 mi nw grand detour s.r. 2 bridge ogle co. line north america,2009,41.90073,-89.42056,
Amblema plicata,inhs,28178,preservedspecimen,3,united states,tennessee,cumberland river carthage north america,1996,36.24331,-85.94638,
Amblema plicata,omnh,15481,preservedspecimen,1,united states,oklahoma,,1912,,,
Amblema plicata,inhs,11943,preservedspecimen,1,united states,illinois,kankakee river aroma park north america,1991,41.07481,-87.8028,
Amblema plicata,inhs,43386,preservedspecimen,1,united states,illinois,rock river 1.5 mi sw nelson 0.5 mi s r.r. bridge north america,2012,41.78194,-89.62255,
Amblema plicata,inhs,9832,preservedspecimen,20,united states,illinois,fox river 2 mi ne ottawa on side of road along river north america,1958,41.36251,-88.80537,
Amblema plicata,inhs,31991,preservedspecimen,1,united states,illinois,sugar river 0.5 mi ssw shirland north america,2007,42.43461,-89.20435,
Amblema plicata,mcz,137447,preservedspecimen,1,canada,ontario,byng grand river,1929,,,
Amblema plicata,inhs,8286,preservedspecimen,3,united states,illinois,wabash river 1 mi n new harmony just s of bull island north america,1989,38.1405,-87.9306,
Amblema plicata,inhs,4613,preservedspecimen,192,united states,illinois,mississippi river east moline pool 15 river mile 488.6 north america,1987,41.52538,-90.45576,
Amblema plicata,inhs,7142,preservedspecimen,2,united states,illinois,sangamon river 3 mi n rt. 10 on piatt county line 4.5 mi sw mahomet north america,1987,40.14839,-88.46322,
Amblema plicata,inhs,33201,preservedspecimen,2,united states,iowa,buffalo creek 0.3 mi e coggon rt. 13 bridge north america,2008,42.27979,-91.52367,
Amblema plicata,inhs,38211,preservedspecimen,5,united states,tennessee,clinch river just below norris dam north america,,36.22266,-84.09167,
