species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,usnm,87771,preservedspecimen,2,united states,mississippi,; ; united states; mississippi; columbus,,,,
Amblema plicata,usnm,677740,preservedspecimen,2,united states,kentucky,; ; united states; kentucky; shepherdsville; salt riv.; sta.4069,,,,
Amblema plicata,usnm,464691,preservedspecimen,3,united states,texas,; ; united states; texas; jackson co.; navidad r.; sta.142,,,,
Amblema plicata,usnm,464609,preservedspecimen,6,united states,texas,; ; united states; texas; travis co.; austin; co r.; sta.110,,,,
Amblema plicata,usnm,619012,preservedspecimen,9,united states,texas,; ; united states; texas; grayson co.; s part of l.texoma; on sand bar,,,,
Amblema plicata,chas,9696,preservedspecimen,1,united states,illinois,little calumet river,,,,
Amblema plicata,chas,12447,preservedspecimen,1,united states,illinois,kankakee river,,,,
Amblema plicata,dmns,23330,preservedspecimen,1,united states,ohio,ohio river,1945,,,
Amblema plicata,usnm,29120,preservedspecimen,2,united states,ohio,; ; united states; ohio;,,,,
Amblema plicata,usnm,526338a,preservedspecimen,1,united states,iowa,; ; united states; iowa; south of westfield.,,,,
Amblema plicata,usnm,25219,preservedspecimen,6,united states,ohio,; ; united states; ohio;,,,,
Amblema plicata,usnm,853479,preservedspecimen,12,united states,wisconsin,; ; united states; wisconsin; crawford co.; prairie du chien; e channel just n of hwy 18 bridge.,,,,
Amblema plicata,usnm,677208,preservedspecimen,2,united states,indiana,; ; united states; indiana; petersburg; white river.,,,,
Amblema plicata,usnm,84176,preservedspecimen,4,united states,wisconsin,; ; united states; wisconsin; green bay.,,,,
Amblema plicata,usnm,523044,preservedspecimen,4,united states,kansas,; ; united states; kansas; jefferson co.; delaware river.,,,,
Amblema plicata,usnm,853379,preservedspecimen,4,united states,kansas,; ; united states; kansas; chautauqua co.; middle caney r. sec 21 t34s; sta. alm-1968; 1.8 mi ne of niotaze.,,,,
Amblema plicata,usnm,755707,preservedspecimen,2,united states,,; ; united states; ; mississippi river; mercer co.; new boston ill.; [33.5 mi sw davenport ia; r5w t14n; new boston twp.],,,,
Amblema plicata,usnm,427645,preservedspecimen,6,united states,missouri,; ; united states; missouri; buchanan co.; saint joseph; lake contrary.,,,,
Amblema plicata,usnm,755837,preservedspecimen,2,united states,,; ; united states; ; mississippi river; 2 m. north nauvoo ia; [23 mi sw burlington ia; r9w t7n; nauvoo twp.; hancock co.],,,,
Amblema plicata,usnm,514987,preservedspecimen,2,united states,illinois,; ; united states; illinois; ill. riv. marris.,,,,
Amblema plicata,usnm,513721,preservedspecimen,4,united states,kansas,; ; united states; kansas; lyon co.; cotton wood river.,,,,
Amblema plicata,usnm,745746,preservedspecimen,2,united states,wisconsin,; ; united states; wisconsin; lacrosse co.; black river behind rr bridge and lacrosse; [slightly e. mississippi river; r7w t16n; medary twp.],,,,
Amblema plicata,usnm,525827,preservedspecimen,2,united states,iowa,; ; united states; iowa; little siouz r. se of sutherland.,,,,
Amblema plicata,usnm,427623,preservedspecimen,4,united states,missouri,; ; united states; missouri; jackson co.; little blue.; little blue river.,,,,
Amblema plicata,usnm,25353,preservedspecimen,1,united states,ohio,; ; united states; ohio; celeveland,,,,
Amblema plicata,usnm,510714,preservedspecimen,2,united states,iowa,; ; united states; iowa; se of sutherland.,,,,
Amblema plicata,usnm,677709,preservedspecimen,2,united states,illinois,; ; united states; illinois; plato; iroquois river.,,,,
Amblema plicata,inhs,25698,preservedspecimen,1,united states,illinois,big creek 1.5 mi sw elizabethtown rt. 146 north america,2001,37.44478,-88.31733,
Amblema plicata,inhs,15812,preservedspecimen,10,united states,kentucky,green river 12.6 km ese brownsville 0.15 mi upstream from running branch mammoth cave national park river mile 196.1 north america,1989,37.1869,-86.12501,
