coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
0c4360a4-70bf-4a5a-976d-eba59457b093,,,preservedspecimen,,ligumia nasuta,66085-mollusca,bivalvia,invertebrate zoology,,,,,,north america,,united states,usa,monroe county,,2017-10-31T09:07:39.961065+00:00,0.144927536,,,,,,fa8d97ec048d06a53689744b9a51dab4ca45ad35,,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_replaced"", ""dwc_parentnameusageid_added""]",,ligumia,,,,FALSE,FALSE,,,,,uf,,,animalia,,,,,,,"lake erie, la plaisance bay",,,,,,,,,f0d50e17-d290-4245-9b97-d82f0cbbd4f0,unionoida,mollusca,"[""6bb853ab-e8ea-43b1-bd83-47318fc4c345\\f0d50e17-d290-4245-9b97-d82f0cbbd4f0""]",,6bb853ab-e8ea-43b1-bd83-47318fc4c345,ligumia nasuta,nasuta,,michigan,2288355,accepted,species,,0c4360a4-70bf-4a5a-976d-eba59457b093,,,,
bf74939e-8074-4455-a8ca-362f01de466b,,,preservedspecimen,,ligumia nasuta,363575,bivalvia,mal,,,,,,north america,,united states,usa,bucks county,1974-04-18T00:00:00+00:00,2017-12-11T15:57:43.360558+00:00,0.246376812,,,,,,c4227eb69bb3743bd80af8764cbef535fc00e5fb,4/18/1974,unionidae,,"[""geopoint_datum_error"", ""dwc_parentnameusageid_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""dwc_originalnameusageid_added""]",,ligumia,,"{""lat"": 40.1, ""lon"": -74.841666}",,FALSE,FALSE,,,21,,ansp,,,animalia,,,,,,,"bristol, delaware river",,,,,,,,,urn:lod.ansp.org/catalog:ansp:mal:363575_29ec4643-3948-11e6-aed8-44a84237b90c_v1,unionoida,mollusca,"[""774a153b-e556-47f6-95d1-bab49e61cc58\\urn:lod.ansp.org/catalog:ansp:mal:363575_29ec4643-3948-11e6-aed8-44a84237b90c_v1""]",,774a153b-e556-47f6-95d1-bab49e61cc58,ligumia nasuta,nasuta,108,pennsylvania,2288355,accepted,species,,bf74939e-8074-4455-a8ca-362f01de466b,1974 apr 18,,,delaware river drainage
23c54faf-128f-4a2a-a291-fdceaad8619d,,,preservedspecimen,,ligumia nasuta,1022108,bivalvia,invertebrate zoology,,,,,,north america,,united states,usa,,,2017-12-06T15:15:21.296739+00:00,0.15942029,,,,,,18841b30dc836afbc8fff301ac3a308dab392015,,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_parentnameusageid_added""]",,ligumia,,,,FALSE,FALSE,"animalia, mollusca, bivalvia, unionidae",,9,,usnm,http://biocol.org/urn:lsid:biocol.org:col:34871,,animalia,,,,,,,northhampton,,,,,,,,,http://n2t.net/ark:/65665/3c75e2bab-5b13-4f94-a784-3adb15f1b8aa,unionoida,mollusca,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/3c75e2bab-5b13-4f94-a784-3adb15f1b8aa""]",,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,ligumia nasuta,nasuta,,massachusetts,2288355,accepted,species,,23c54faf-128f-4a2a-a291-fdceaad8619d,,,,
9ff0fe0c-7067-407b-b864-e94b4a502764,,,preservedspecimen,,ligumia nasuta,336094,bivalvia,invertebrate zoology,,,w. marshall & c. cooke,,,north america,,united states,usa,,7/11/1919,2017-06-14T09:15:39.298990+00:00,0.202898551,,,,,,b98a0ce83170f294117d59c76fea1577956bcf29,,unionidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_vernacularname_added"", ""dwc_multimedia_added"", ""dwc_stateprovince_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_order_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected""]",,ligumia,,"{""lat"": 38.8956, ""lon"": -77.0622}",,TRUE,TRUE,"animalia, mollusca, bivalvia, unionidae",,31,,usnm,http://biocol.org/urn:lsid:biocol.org:col:34871,,animalia,,,,,,,theodore roosevelt island,,,,"[""6477afa3-b893-40e6-937c-73ce916daa78"", ""5b50f560-6175-4e20-9695-af7a4f26c41a"", ""fb8fcda5-bbe7-45e2-997f-158ee59108f5"", ""756eaa41-f670-45e7-a2de-7668dd0dc78d""]",,,,,http://n2t.net/ark:/65665/373d634a0-fe22-445d-8dcf-631406a1fafd,unionoida,mollusca,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/373d634a0-fe22-445d-8dcf-631406a1fafd""]",,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,ligumia nasuta,nasuta,192,"washington, d.c.",2288355,accepted,species,,9ff0fe0c-7067-407b-b864-e94b4a502764,11-Jul-19,,,
f18bc8a2-ee70-4663-aed8-2e6d8e239f63,,,preservedspecimen,,ligumia nasuta,359773-mollusca,bivalvia,invertebrate zoology,,,"williams, j.",,,north america,,united states,usa,clarendon county,2002-10-09T00:00:00+00:00,2017-10-31T09:07:39.961065+00:00,0.202898551,,,,,,2ce18f17041027a94fc4d26835a843695e9d7fa2,10/9/2002,unionidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_replaced"", ""dwc_parentnameusageid_added""]",,ligumia,,"{""lat"": 33.53875, ""lon"": -80.4363305556}",,FALSE,FALSE,,,,,uf,,,animalia,,,,,,,"lake marion in santee nwr, bluff unit, at the santee indian mound, ft. watson.",,,,,,,,,6d4db959-7dcf-4e88-9a0c-49b0ede8e249,unionoida,mollusca,"[""6bb853ab-e8ea-43b1-bd83-47318fc4c345\\6d4db959-7dcf-4e88-9a0c-49b0ede8e249""]",,6bb853ab-e8ea-43b1-bd83-47318fc4c345,ligumia nasuta,nasuta,282,south carolina,2288355,accepted,species,,f18bc8a2-ee70-4663-aed8-2e6d8e239f63,,,,
dd427ac8-5e42-4cde-be96-7a3cf5d2bac9,,,preservedspecimen,,ligumia nasuta,280761,bivalvia,mala,,,"essler, c.g., e. m. sibble",,,north america,,canada,can,renfrew,,2017-12-06T15:07:28.803524+00:00,0.275362319,,,,,,89189689842fafaffb993d3c1e56eb4122129384,1981-09-01/1981-09-30,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_parentnameusageid_added""]",,ligumia,,,,FALSE,FALSE,animalia mollusca bivalvia palaeoheterodonta unionoida unionoidea unionidae ligumia nasuta,,1,,mcz,b4640710-8e03-11d8-b956-b8a03c50a862,,animalia,,,,,,,"lake erie, bay beach near port abino",,,,,,,,,mcz:mala:280761,unionoida,mollusca,"[""271a9ce9-c6d3-4b63-a722-cb0adc48863f\\mcz:mala:280761""]",,271a9ce9-c6d3-4b63-a722-cb0adc48863f,ligumia nasuta,nasuta,,ontario,2288355,accepted,species,,dd427ac8-5e42-4cde-be96-7a3cf5d2bac9,Sep-81,"canada, ontario, ontario, lake erie, bay beach near port abino",,
b41d1abf-3bc5-45f0-bb29-97a04c2b9141,,,preservedspecimen,,ligumia nasuta,46168,bivalvia,mollusk,016aa1cb-370a-43e5-a2aa-f3e7c14f94c2,,d.g. smith,,,north america,,united states,usa,hampshire,1975-04-17T00:00:00+00:00,2017-12-06T15:24:48.513247+00:00,0.246376812,,,,,,c466316234d8cc281666cfecab7afb30525a3993,4/17/1975,unionidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""gbif_vernacularname_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added""]",,ligumia,,"{""lat"": 42.35556, ""lon"": -72.52058}",,FALSE,FALSE,,,1,,inhs,,,animalia,,,,,,,"fort river, south amherst, north america",,,,,,,,,http://biocoll.inhs.illinois.edu/mollusk/inhs46168,unionoida,mollusca,"[""7370af7d-07b5-4fc6-9eca-0204b4d6e33e\\2847109"", ""urn:uuid:c0749579-aada-46b0-81f9-c41676178707"", ""7370af7d-07b5-4fc6-9eca-0204b4d6e33e\\http://biocoll.inhs.illinois.edu/mollusk/inhs46168"", ""97164605-d4b1-4b74-8cba-fddf834137e0\\http://biocoll.inhs.illinois.edu/mollusk/inhs46168""]",,7370af7d-07b5-4fc6-9eca-0204b4d6e33e,ligumia nasuta,nasuta,107,massachusetts,2288355,accepted,species,,b41d1abf-3bc5-45f0-bb29-97a04c2b9141,,,,
9deb6f1d-e45c-45d5-a94f-b1894a91e149,,,preservedspecimen,,ligumia nasuta,66074-mollusca,bivalvia,invertebrate zoology,,,,,,north america,,united states,usa,,,2017-02-10T14:50:40.517998+00:00,0.130434783,,,,,,277dfed6ede6a7b8244a3c558a799eb15cb233a2,,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_replaced"", ""dwc_parentnameusageid_added""]",,ligumia,,,,FALSE,FALSE,,,,,uf,,,animalia,,,,,,,n/a,,,,,,,,,740d5311-cde5-40b1-abdf-d5307e7fdf70,unionoida,mollusca,"[""6bb853ab-e8ea-43b1-bd83-47318fc4c345\\740d5311-cde5-40b1-abdf-d5307e7fdf70""]",,6bb853ab-e8ea-43b1-bd83-47318fc4c345,ligumia nasuta,nasuta,,alabama,2288355,accepted,species,,9deb6f1d-e45c-45d5-a94f-b1894a91e149,,,,
8407db6b-b565-483a-89cb-4e30b03d9643,,,preservedspecimen,,ligumia nasuta,229221-mollusca,bivalvia,invertebrate zoology,,,,,,,,,,,1930-10-06T00:00:00+00:00,2017-02-10T14:50:40.517998+00:00,0.144927536,,,,,,d7a949db3dcf328fb67f90e4a1d21a3ce5bbd3ec,10/6/1930,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""gbif_taxon_corrected"", ""dwc_order_replaced""]",,ligumia,,,,FALSE,FALSE,,,,,uf,,,animalia,,,,,,,oxwood lake,,,,,,,,,1301cbe2-62fc-48ec-8f82-f2404983d967,unionoida,mollusca,"[""6bb853ab-e8ea-43b1-bd83-47318fc4c345\\1301cbe2-62fc-48ec-8f82-f2404983d967""]",,6bb853ab-e8ea-43b1-bd83-47318fc4c345,ligumia nasuta,nasuta,279,,2288355,accepted,species,,8407db6b-b565-483a-89cb-4e30b03d9643,,,,
15560a02-a499-4695-96ed-b3842a57dba9,,,preservedspecimen,,ligumia nasuta,275476,bivalvia,mala,,,[no agent data],,,north america,,canada,can,,,2017-12-06T15:07:28.803524+00:00,0.260869565,,,,,,6f07182064af01968d59a9992e1760c54a55e361,1968-08-01/1968-08-31,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_parentnameusageid_added""]",,ligumia,,,,FALSE,FALSE,animalia mollusca bivalvia palaeoheterodonta unionoida unionoidea unionidae ligumia nasuta,,1,,mcz,b4640710-8e03-11d8-b956-b8a03c50a862,,animalia,,,,,,,"pelee id., lake erie",,,,,,,,,mcz:mala:275476,unionoida,mollusca,"[""271a9ce9-c6d3-4b63-a722-cb0adc48863f\\mcz:mala:275476""]",,271a9ce9-c6d3-4b63-a722-cb0adc48863f,ligumia nasuta,nasuta,,ontario,2288355,accepted,species,,15560a02-a499-4695-96ed-b3842a57dba9,Aug-68,"canada, ontario, pelee id., lake erie",,
