coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
994ea610-261c-403a-9dc4-64486d2bed30,,,preservedspecimen,,quadrula quadrata,87771,bivalvia,invertebrate zoology,,,,,,north america,,united states,usa,,,2018-01-23T17:07:33.473820+00:00,0.173913043,,,,,,500c87ddde65567eb1be0450cb795a4fda9f1101,,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_specificepithet_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_added""]",,quadrula,,,,FALSE,FALSE,"animalia, mollusca, bivalvia, unionidae",,2,,usnm,http://biocol.org/urn:lsid:biocol.org:col:34871,,animalia,,,,,,,; ; united states; mississippi; columbus,,,,,,,,,http://n2t.net/ark:/65665/362135b2f-8d05-453b-aebc-40ff468d0479,unionoida,mollusca,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/362135b2f-8d05-453b-aebc-40ff468d0479""]",,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,quadrula quadrula,quadrata,,mississippi,9225874,accepted,species,,994ea610-261c-403a-9dc4-64486d2bed30,,,,
5b4668bc-e22a-4653-a11c-14dcdb334c9e,,,preservedspecimen,,quadrula quadrata,677740,bivalvia,invertebrate zoology,,,,,,north america,,united states,usa,,,2018-01-23T17:07:33.473820+00:00,0.173913043,,,,,,f2f25ae7a10e307a395adfbce912dac209429dbc,,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_specificepithet_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_added""]",,quadrula,,,,FALSE,FALSE,"animalia, mollusca, bivalvia, unionidae",,2,,usnm,http://biocol.org/urn:lsid:biocol.org:col:34871,,animalia,,,,,,,; ; united states; kentucky; shepherdsville; salt riv.; sta.4069,,,,,,,,,http://n2t.net/ark:/65665/37b57690a-6f1f-4195-b2fd-84bb4c40dd21,unionoida,mollusca,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/37b57690a-6f1f-4195-b2fd-84bb4c40dd21""]",,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,quadrula quadrula,quadrata,,kentucky,9225874,accepted,species,,5b4668bc-e22a-4653-a11c-14dcdb334c9e,,,,
1c60bc54-a70f-476a-a5a3-a73b7426b23c,,,preservedspecimen,,quadrula quadrata,464691,bivalvia,invertebrate zoology,,,,,,north america,,united states,usa,,,2018-01-23T17:07:33.473820+00:00,0.173913043,,,,,,cf8279d0bd6b8f3607d26f2ec2c74cf1811e4a71,,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_specificepithet_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_added""]",,quadrula,,,,FALSE,FALSE,"animalia, mollusca, bivalvia, unionidae",,3,,usnm,http://biocol.org/urn:lsid:biocol.org:col:34871,,animalia,,,,,,,; ; united states; texas; jackson co.; navidad r.; sta.142,,,,,,,,,http://n2t.net/ark:/65665/3974a3e07-b9a0-4531-85ac-c445e0615d94,unionoida,mollusca,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/3974a3e07-b9a0-4531-85ac-c445e0615d94""]",,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,quadrula quadrula,quadrata,,texas,9225874,accepted,species,,1c60bc54-a70f-476a-a5a3-a73b7426b23c,,,,
20bf02a9-833b-4e34-811e-0534830e10e8,,,preservedspecimen,,quadrula quadrata,464609,bivalvia,invertebrate zoology,,,,,,north america,,united states,usa,,,2018-01-23T17:07:33.473820+00:00,0.173913043,,,,,,88aaeda500d483ef1519082a107f679999c866ef,,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_specificepithet_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_added""]",,quadrula,,,,FALSE,FALSE,"animalia, mollusca, bivalvia, unionidae",,6,,usnm,http://biocol.org/urn:lsid:biocol.org:col:34871,,animalia,,,,,,,; ; united states; texas; travis co.; austin; co r.; sta.110,,,,,,,,,http://n2t.net/ark:/65665/3c13cc45f-9863-4a5f-aa57-c8e361b2ac3d,unionoida,mollusca,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/3c13cc45f-9863-4a5f-aa57-c8e361b2ac3d""]",,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,quadrula quadrula,quadrata,,texas,9225874,accepted,species,,20bf02a9-833b-4e34-811e-0534830e10e8,,,,
736c44cb-c282-4321-a163-0d467dfd4c9d,,,preservedspecimen,,quadrula quadrata,619012,bivalvia,invertebrate zoology,,,,,,north america,,united states,usa,,,2018-01-23T17:07:33.473820+00:00,0.173913043,,,,,,004541eeb42204fa685c4457d34758833c9fc955,,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_specificepithet_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_added""]",,quadrula,,,,FALSE,FALSE,"animalia, mollusca, bivalvia, unionidae",,9,,usnm,http://biocol.org/urn:lsid:biocol.org:col:34871,,animalia,,,,,,,; ; united states; texas; grayson co.; s part of l.texoma; on sand bar,,,,,,,,,http://n2t.net/ark:/65665/3c7fc3c42-6525-4a8b-970e-8f7eda34499a,unionoida,mollusca,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/3c7fc3c42-6525-4a8b-970e-8f7eda34499a""]",,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,quadrula quadrula,quadrata,,texas,9225874,accepted,species,,736c44cb-c282-4321-a163-0d467dfd4c9d,,,,
0185d666-2bb9-4827-8172-c5e41fb61925,,,preservedspecimen,,quadrula quadrata,9696,bivalvia,mollusc specimens,,,collector(s): unknown,,,north america,,united states,usa,cook county,,2018-01-23T17:10:56.555295+00:00,0.275362319,,,,,,8239df6610d2e599cd916922df27fb6315b59b6f,1896-08-01/1896-08-31,unionidae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_multimedia_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added""]",,quadrula,,,,FALSE,FALSE,animalia; mollusca; bivalvia; unionoida; unionidae;,,1,,chas,http://grbio.org/cool/v1fg-sphq,,animalia,,,,,,,little calumet river,,,,,,,,,http://arctos.database.museum/guid/chas:inv:9696?seid=3947743,unionoida,mollusca,"[""e8a10a16-86af-42b2-be40-9d6a1b21859a\\http://arctos.database.museum/guid/chas:inv:9696?seid=3947743"", ""e8a10a16-86af-42b2-be40-9d6a1b21859a\\urn:occurrence:arctos:chas:inv:9696:3947743""]",,e8a10a16-86af-42b2-be40-9d6a1b21859a,quadrula quadrula,quadrata,,illinois,9225874,accepted,species,,0185d666-2bb9-4827-8172-c5e41fb61925,august 1896,from specimen: little calumet river; from original catalog book: little calumet river,,
c36dabac-3a60-4c0c-abce-d95028121e51,,,preservedspecimen,,quadrula quadrata,12447,bivalvia,mollusc specimens,,,collector(s): unknown,,,north america,,united states,usa,,,2018-01-23T17:10:56.555295+00:00,0.260869565,,,,,,01688ece9eb81d79ecf4903eb92b39b28b21c410,1800/2017-07-01,unionidae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_multimedia_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added""]",,quadrula,,,,FALSE,FALSE,animalia; mollusca; bivalvia; unionoida; unionidae;,,1,,chas,http://grbio.org/cool/v1fg-sphq,,animalia,,,,,,,kankakee river,,,,,,,,,http://arctos.database.museum/guid/chas:inv:12447?seid=3947417,unionoida,mollusca,"[""e8a10a16-86af-42b2-be40-9d6a1b21859a\\urn:occurrence:arctos:chas:inv:12447:3947417"", ""e8a10a16-86af-42b2-be40-9d6a1b21859a\\http://arctos.database.museum/guid/chas:inv:12447?seid=3947417""]",,e8a10a16-86af-42b2-be40-9d6a1b21859a,quadrula quadrula,quadrata,,illinois,9225874,accepted,species,,c36dabac-3a60-4c0c-abce-d95028121e51,[no date recorded],"from specimen: kankakee river; from original catalog book: kankakee river, ills. [illinois]",,
34a5d917-cf79-4172-b6a6-a6e5bc412a03,,,preservedspecimen,,quadrula quadrata,23330,bivalvia,marine invertebrate specimens,74,,collector(s): unknown,,,north america,,united states,usa,hamilton county,1945-10-21T00:00:00+00:00,2017-04-20T11:00:31.593021+00:00,0.304347826,,,,,,782c95f6e88ee81d2284e1e895ac7db5ff5a6ccd,10/21/1945,unionidae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_multimedia_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added""]",,quadrula,,,,FALSE,FALSE,animalia; mollusca; bivalvia; unionoida; unionidae;,,1,,dmns,,,animalia,,,,,,,ohio river,,,,,,,,,http://arctos.database.museum/guid/dmns:inv:23330?seid=3549064,unionoida,mollusca,"[""1e86442f-35a5-4e7b-9a38-4599e4d3b510\\http://arctos.database.museum/guid/dmns:inv:23330?seid=3549064"", ""1e86442f-35a5-4e7b-9a38-4599e4d3b510\\urn:occurrence:arctos:dmns:inv:23330:3549064""]",,1e86442f-35a5-4e7b-9a38-4599e4d3b510,quadrula quadrula,quadrata,294,ohio,9225874,accepted,species,,34a5d917-cf79-4172-b6a6-a6e5bc412a03,10/21/1945,"ohio r., ham. co., o..",,
ce7527d1-885b-4f1c-988b-3c6ca3c8c88b,,,preservedspecimen,,quadrula quadrata,29120,bivalvia,invertebrate zoology,,,,,,north america,,united states,usa,,,2017-06-14T09:15:39.298990+00:00,0.173913043,,,,,,c8c6889a13d04b60f2762483fcfa24840df14b7d,,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_specificepithet_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_added""]",,quadrula,,,,FALSE,FALSE,"animalia, mollusca, bivalvia, unionidae",,2,,usnm,http://biocol.org/urn:lsid:biocol.org:col:34871,,animalia,,,,,,,; ; united states; ohio;,,,,,,,,,http://n2t.net/ark:/65665/30a114581-ca9f-4a31-ac48-58e36e71928a,unionoida,mollusca,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/30a114581-ca9f-4a31-ac48-58e36e71928a""]",,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,quadrula quadrula,quadrata,,ohio,9225874,accepted,species,,ce7527d1-885b-4f1c-988b-3c6ca3c8c88b,,,,
e179a76d-b1fb-492b-803d-3cfa4aeb4b4c,,,preservedspecimen,,quadrula quadrata,526338a,bivalvia,invertebrate zoology,,,,,,north america,,united states,usa,,,2017-06-14T09:15:39.298990+00:00,0.173913043,,,,,,d08bfe9bc8c0e20c21adab3147f87ad92beef9e1,,unionidae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_specificepithet_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_added""]",,quadrula,,,,FALSE,FALSE,"animalia, mollusca, bivalvia, unionidae",,1,,usnm,http://biocol.org/urn:lsid:biocol.org:col:34871,,animalia,,,,,,,; ; united states; iowa; south of westfield.,,,,,,,,,http://n2t.net/ark:/65665/30ad97362-69ce-4e23-bf4c-7f84a3cea091,unionoida,mollusca,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/30ad97362-69ce-4e23-bf4c-7f84a3cea091""]",,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,quadrula quadrula,quadrata,,iowa,9225874,accepted,species,,e179a76d-b1fb-492b-803d-3cfa4aeb4b4c,,,,
